blocksize,executiontimeMsec,baseTimeMsec
8,820,1539
16,801,1539
32,1079,1539
64,1636,1539
128,1580,1539
256,1660,1539
384,1577,1539
448,1737,1539
480,1532,1539
496,1782,1539
512,1654,1539
