instructions,cycles,cache-misses,cache-references
61456062,27571823,5455,98630
79291010,36327584,7756,170939
97126032,45087728,6948,249636
114961037,53856855,9377,338116
132796139,62568813,6942,377157
150630975,71262746,6332,473928
168466202,79840120,9633,525105
186301268,88737419,7021,623201
204135927,97622726,8035,699067
221971061,106114142,8911,774981
