instructions,cycles,cache-misses,cache-references
2114254557,2781459039,100470812,132671321
3255150276,4999688172,208426940,262096376
4396045994,7226960226,314787237,391831745
5536941618,9469817856,426300601,540703813
6677837414,11890098699,538841258,667021255
7818733170,14068881761,645643800,776032798
8959628779,16462718565,753281766,956713591
10100527322,15727772113,854461018,1085030510
11241420339,21058104767,972918269,1200830869
12382316012,22949721996,1076644937,1319684491
