instructions,cycles,cache-misses,cache-references
61456024,34981888,8455,2507703
79291022,51781624,38385,4942341
97126077,67194546,35775,7156346
114961096,85164461,87120,9524872
132796137,99176431,34936,12270421
150631180,113324627,10048,14721956
168466128,128970168,35543,16688979
186300888,146816660,70952,18974222
204135971,162824054,77306,22047297
221971078,175040129,26539,23754578
